Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
obese,female,omnivore,daily,coal,0.0,never,240,rarely,1848,0.0,5,23,8,18,Sometimes,[],"['Stove', 'Microwave']",2004,Finance,Navi Mumbai,India,5.0,0.0,0.0,1.0,36,1,34,12,1835,51,Kharghar,"Residential, Construction",709.32,416.55,741.35,509.32,431.1,0.0,Summer,2807.64,"700,350"
overweight,male,vegan,twice a day,wood,0.0,sometimes,230,never,50,0.0,1,19,5,8,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",910,Engineering,Navi Mumbai,India,1.0,0.0,0.0,1.0,7,2,41,2,849,129,Turbhe,"Industrial, Vehicular",596.7,487.06,1060.25,690.19,305.16,0.0,Monsoon,3139.36,"1000,600"
overweight,male,vegan,less frequently,electricity,0.0,sometimes,295,frequently,1037,0.0,7,13,8,16,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2342,Other,Navi Mumbai,India,7.0,0.0,0.0,1.0,34,2,49,17,154,85,Vashi,"Corporate, Residential, Vehicular",770.05,586.89,751.48,577.33,324.88,0.0,Summer,3010.63,"500,700,600"
obese,male,omnivore,more frequently,natural gas,0.0,sometimes,235,never,52,0.0,5,23,5,0,Sometimes,['Glass'],"['Oven', 'Grill', 'Airfryer']",1656,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,10,0,52,3,1193,119,Vashi,"Corporate, Residential, Vehicular",699.29,583.56,867.66,719.37,270.28,0.0,Monsoon,3140.16,"500,700,600"
normal,male,vegan,less frequently,wood,0.0,often,92,frequently,1930,0.0,1,21,43,7,No,['Paper'],['Stove'],2741,Finance,Mumbai,India,1.0,0.0,0.0,1.0,23,4,59,18,1617,90,Mazgaon,"Vehicular, Residential",879.04,563.93,1053.96,840.93,255.1,1587.51,Summer,5180.47,"750,850"
underweight,female,omnivore,more frequently,wood,0.0,sometimes,286,very frequently,1499,0.0,6,21,49,24,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",3298,Finance,Mumbai,India,6.0,0.0,0.0,1.0,20,3,49,12,455,27,Chembur,"Industrial, Vehicular",677.07,658.03,1401.78,852.48,279.28,1665.39,Summer,5534.03,"1200,750"
normal,male,pescatarian,twice a day,electricity,0.0,never,113,frequently,30,0.0,7,18,43,19,Yes,"['Paper', 'Metal']",[],2167,Operations,Mumbai,India,7.0,0.0,0.0,1.0,1,3,25,12,1591,55,Sion,"Vehicular, Construction",806.86,559.43,885.92,755.55,327.91,1810.59,Monsoon,5146.26,"750,400"
obese,male,omnivore,more frequently,coal,0.0,often,276,rarely,9857,0.0,6,15,21,2,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",6233,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,39,1,48,11,1411,31,Ghansoli,"Residential, Industrial",853.58,355.1,1124.89,522.62,352.4,0.0,Monsoon,3208.59,"700,1000"
obese,female,omnivore,twice a day,electricity,0.0,sometimes,83,very frequently,15,0.0,1,8,7,16,Sometimes,"['Paper', 'Plastic']",['Stove'],1982,Finance,Mumbai,India,1.0,0.0,0.0,1.0,18,2,42,0,873,21,Andheri (Airport area),"Vehicular, Corporate, Airport",744.21,690.11,993.34,801.14,338.83,2171.53,Summer,5739.16,"750,650,2000"
normal,male,pescatarian,daily,electricity,0.0,never,175,frequently,91,0.0,1,12,23,12,No,"['Paper', 'Plastic']",['Oven'],1475,Sales,Navi Mumbai,India,1.0,0.0,0.0,1.0,38,3,40,1,1011,130,Koparkhairane,"Residential, Industrial",860.63,470.79,1127.1,544.72,362.53,0.0,Monsoon,3365.77,"700,1000"
obese,male,pescatarian,more frequently,coal,0.0,sometimes,273,never,86,0.0,2,19,22,19,Yes,['Metal'],"['Grill', 'Airfryer']",1938,Operations,Navi Mumbai,India,2.0,0.0,0.0,1.0,27,3,42,2,1108,97,Airoli,"Residential, Corporate",807.26,500.38,836.44,524.54,328.65,0.0,Monsoon,2997.27,"700,500"
obese,female,vegetarian,more frequently,wood,0.0,never,69,never,829,0.0,7,11,36,18,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1406,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,16,2,25,12,1061,104,Nerul,"Residential, Corporate, Construction",706.99,534.48,1017.07,507.34,422.85,0.0,Monsoon,3188.73,"700,500,350"
overweight,female,omnivore,more frequently,natural gas,0.0,sometimes,53,never,59,0.0,3,3,28,22,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1214,Engineering,Navi Mumbai,India,3.0,0.0,0.0,1.0,5,2,58,11,1845,68,Turbhe,"Industrial, Vehicular",663.5,519.01,1008.06,673.77,333.94,0.0,Winter,3198.28,"1000,600"
underweight,male,vegetarian,less frequently,wood,0.0,often,109,rarely,9007,0.0,1,1,6,8,Yes,['Paper'],['Stove'],3358,Sales,Navi Mumbai,India,1.0,0.0,0.0,1.0,18,1,40,15,1360,131,Ghansoli,"Residential, Industrial",814.97,435.99,1142.96,583.47,316.43,0.0,Monsoon,3293.82,"700,1000"
obese,female,omnivore,less frequently,electricity,0.0,sometimes,267,frequently,6807,0.0,6,11,46,17,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4709,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,37,3,48,13,317,56,Worli,"Vehicular, Construction",796.23,634.16,1038.96,838.22,487.23,1689.04,Monsoon,5483.84,"750,400"
underweight,male,vegetarian,twice a day,natural gas,0.0,never,152,rarely,1030,0.0,1,0,21,16,Yes,"['Glass', 'Metal']",['Oven'],1117,Student,Mumbai,India,1.0,0.0,0.0,1.0,27,2,51,13,823,79,Worli,"Vehicular, Construction",635.63,556.65,1070.2,825.62,519.86,1820.62,Winter,5428.58,"750,400"
obese,female,vegetarian,less frequently,coal,0.0,sometimes,80,very frequently,52,0.0,3,16,40,8,Sometimes,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",2773,Finance,Mumbai,India,3.0,0.0,0.0,1.0,1,2,4,16,1651,61,Worli,"Vehicular, Construction",847.1,660.31,997.9,787.59,430.64,1763.26,Summer,5486.8,"750,400"
underweight,male,pescatarian,less frequently,coal,0.0,often,286,frequently,14,0.0,7,21,32,15,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2382,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,37,3,43,4,1848,26,Kharghar,"Residential, Construction",773.08,392.2,807.62,497.96,367.11,0.0,Summer,2837.97,"700,350"
normal,female,pescatarian,less frequently,electricity,0.0,sometimes,198,frequently,39,0.0,6,10,1,0,No,"['Paper', 'Plastic', 'Glass']",['Microwave'],1163,Other,Navi Mumbai,India,6.0,0.0,0.0,1.0,36,1,17,5,1393,61,Taloja,"Industrial, Construction",633.24,435.54,1149.13,583.82,378.53,0.0,Summer,3180.26,"1000,350"
normal,male,vegan,more frequently,wood,0.0,sometimes,258,very frequently,164,0.0,4,20,36,9,No,"['Paper', 'Plastic']",['Oven'],3027,Other,Mumbai,India,4.0,0.0,0.0,1.0,3,3,58,9,1441,35,Bandra Kurla Complex,Corporate,752.58,749.71,1048.64,623.53,351.06,1696.49,Winter,5222.01,650
underweight,female,pescatarian,daily,electricity,0.0,often,239,rarely,8794,0.0,1,20,30,18,No,"['Glass', 'Metal']","['Oven', 'Microwave']",2255,Student,Mumbai,India,1.0,0.0,0.0,1.0,21,0,56,8,1781,134,Chembur,"Industrial, Vehicular",767.19,629.99,1135.27,908.03,299.16,1887.44,Monsoon,5627.08,"1200,750"
normal,female,vegan,less frequently,natural gas,0.0,sometimes,63,never,784,0.0,5,5,17,10,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",862,Student,Mumbai,India,5.0,0.0,0.0,1.0,25,3,24,6,363,63,Andheri (Airport area),"Vehicular, Corporate, Airport",777.6,668.62,946.56,852.76,347.09,2077.24,Winter,5669.87,"750,650,2000"
underweight,male,vegan,less frequently,coal,0.0,never,299,frequently,5652,0.0,3,13,33,17,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']",3767,Operations,Navi Mumbai,India,3.0,0.0,0.0,1.0,35,3,47,3,1768,57,CBD Belapur,"Corporate, Vehicular",667.21,483.64,835.91,644.49,342.82,0.0,Winter,2974.07,"500,600"
underweight,female,omnivore,twice a day,coal,0.0,never,50,rarely,2816,0.0,7,1,35,24,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",2818,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,12,3,40,6,443,64,Taloja,"Industrial, Construction",557.59,475.97,1171.5,557.06,429.38,0.0,Winter,3191.5,"1000,350"
underweight,male,omnivore,more frequently,electricity,0.0,often,61,very frequently,54,0.0,2,1,38,7,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2291,Operations,Mumbai,India,2.0,0.0,0.0,1.0,31,3,39,10,1932,113,Malad West,"Residential, Construction",953.98,520.64,979.08,600.89,420.96,1614.18,Post-Monsoon,5089.73,"850,400"
overweight,male,vegetarian,more frequently,wood,0.0,sometimes,160,rarely,759,0.0,5,6,38,23,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",2289,Engineering,Mumbai,India,5.0,0.0,0.0,1.0,16,3,37,5,1600,54,Bandra Kurla Complex,Corporate,731.02,826.4,1045.76,647.91,290.85,1826.91,Winter,5368.85,650
overweight,male,vegan,daily,coal,0.0,often,266,never,0,0.0,2,23,40,2,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1709,Other,Mumbai,India,2.0,0.0,0.0,1.0,35,2,48,15,926,80,Chembur,"Industrial, Vehicular",683.34,464.25,1312.46,900.53,392.36,1762.79,Winter,5515.73,"1200,750"
obese,male,vegetarian,more frequently,wood,0.0,often,95,rarely,95,0.0,6,24,12,22,Yes,"['Plastic', 'Metal']",['Microwave'],1589,Other,Navi Mumbai,India,6.0,0.0,0.0,1.0,18,0,45,15,620,128,Kharghar,"Residential, Construction",785.54,373.52,817.37,573.59,456.18,0.0,Winter,3006.2,"700,350"
normal,male,vegetarian,twice a day,wood,0.0,never,208,frequently,970,0.0,7,5,45,1,Yes,"['Paper', 'Metal']",['Stove'],2015,Other,Mumbai,India,7.0,0.0,0.0,1.0,34,4,57,12,1165,97,Worli,"Vehicular, Construction",826.84,629.47,1053.37,807.68,432.34,1766.12,Winter,5515.82,"750,400"
normal,male,pescatarian,twice a day,coal,0.0,often,242,rarely,5478,0.0,1,21,10,3,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2781,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,39,2,20,11,1141,147,Turbhe,"Industrial, Vehicular",632.57,436.72,1171.76,615.31,315.67,0.0,Winter,3172.03,"1000,600"
underweight,male,pescatarian,more frequently,coal,0.0,sometimes,106,frequently,20,0.0,1,2,37,7,No,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2191,Operations,Mumbai,India,1.0,0.0,0.0,1.0,27,3,23,1,1937,60,Mazgaon,"Vehicular, Residential",1049.7,592.83,951.65,834.94,390.73,1759.82,Summer,5579.67,"750,850"
normal,male,vegetarian,twice a day,wood,0.0,often,122,rarely,850,0.0,4,9,21,13,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],1614,Student,Navi Mumbai,India,4.0,0.0,0.0,1.0,0,2,27,12,1333,123,Turbhe,"Industrial, Vehicular",563.68,414.08,1119.06,633.32,330.83,0.0,Winter,3060.97,"1000,600"
obese,female,omnivore,more frequently,natural gas,0.0,often,278,rarely,69,0.0,2,1,20,14,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1642,Other,Mumbai,India,2.0,0.0,0.0,1.0,17,0,45,0,531,47,Mazgaon,"Vehicular, Residential",934.33,598.06,1086.37,890.3,344.53,1547.61,Summer,5401.2,"750,850"
overweight,male,pescatarian,twice a day,wood,0.0,sometimes,108,frequently,500,0.0,3,20,11,3,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1808,Student,Mumbai,India,3.0,0.0,0.0,1.0,39,3,3,9,1919,137,Chembur,"Industrial, Vehicular",762.64,510.54,1257.51,905.88,380.93,1840.53,Monsoon,5658.03,"1200,750"
obese,male,vegan,daily,coal,0.0,never,285,very frequently,7899,0.0,2,12,43,2,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",5122,Finance,Navi Mumbai,India,2.0,0.0,0.0,1.0,32,2,7,9,1928,144,Taloja,"Industrial, Construction",578.72,406.92,1043.25,483.52,381.71,0.0,Summer,2894.12,"1000,350"
normal,male,vegetarian,more frequently,wood,0.0,often,284,very frequently,58,0.0,4,3,28,13,No,"['Glass', 'Metal']",[],2638,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,11,2,53,10,429,133,Taloja,"Industrial, Construction",583.86,368.45,995.69,588.61,383.27,0.0,Summer,2919.88,"1000,350"
overweight,male,pescatarian,daily,coal,0.0,often,291,never,8414,0.0,6,20,11,14,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",4603,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,7,1,48,8,375,64,Andheri (Airport area),"Vehicular, Corporate, Airport",793.21,826.46,955.94,864.4,260.74,1915.46,Monsoon,5616.21,"750,650,2000"
underweight,female,vegan,less frequently,natural gas,0.0,never,80,frequently,588,0.0,6,0,28,9,Sometimes,"['Paper', 'Glass']",['Microwave'],1606,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,23,2,32,3,1545,35,Airoli,"Residential, Corporate",778.54,521.99,954.49,584.37,250.88,0.0,Winter,3090.27,"700,500"
overweight,male,omnivore,daily,wood,0.0,never,275,very frequently,42,0.0,4,12,4,17,Sometimes,[],[],2836,Student,Mumbai,India,4.0,0.0,0.0,1.0,15,4,2,16,1036,109,Goregaon,"Residential, Construction",972.92,504.62,1225.36,658.53,335.95,1803.89,Monsoon,5501.27,"850,400"
obese,female,vegetarian,daily,natural gas,0.0,sometimes,244,frequently,29,0.0,4,1,28,11,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2070,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,3,2,48,18,826,54,Vashi,"Corporate, Residential, Vehicular",820.9,533.11,827.47,710.89,365.01,0.0,Monsoon,3257.38,"500,700,600"
normal,female,pescatarian,less frequently,natural gas,0.0,never,136,rarely,5808,0.0,7,8,31,17,Sometimes,['Glass'],"['Grill', 'Airfryer']",3015,Operations,Mumbai,India,7.0,0.0,0.0,1.0,37,0,19,9,846,124,Malad West,"Residential, Construction",838.15,590.25,878.74,753.01,398.15,1536.63,Monsoon,4994.93,"850,400"
obese,male,pescatarian,daily,electricity,0.0,never,200,frequently,4320,0.0,6,3,13,22,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1610,Operations,Mumbai,India,6.0,0.0,0.0,1.0,26,1,34,12,1271,131,Andheri (Airport area),"Vehicular, Corporate, Airport",696.24,784.99,1126.91,755.67,306.65,2169.75,Post-Monsoon,5840.21,"750,650,2000"
underweight,female,vegetarian,less frequently,coal,0.0,often,67,frequently,5350,0.0,7,16,8,1,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",3308,Student,Mumbai,India,7.0,0.0,0.0,1.0,8,1,38,1,1173,40,Goregaon,"Residential, Construction",891.15,582.81,1185.42,650.8,342.06,1784.08,Winter,5436.32,"850,400"
underweight,male,omnivore,less frequently,electricity,0.0,never,195,very frequently,2971,0.0,6,11,17,13,No,"['Paper', 'Plastic', 'Metal']",['Stove'],3844,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,15,2,42,8,232,65,Malad West,"Residential, Construction",939.96,653.62,1089.05,735.1,358.32,1994.95,Winter,5771.0,"850,400"
underweight,female,pescatarian,twice a day,natural gas,0.0,often,118,very frequently,1510,0.0,3,9,31,24,No,['Metal'],"['Oven', 'Microwave']",2354,Operations,Mumbai,India,3.0,0.0,0.0,1.0,11,2,56,6,799,76,Chembur,"Industrial, Vehicular",725.52,606.65,1180.76,814.13,313.92,1544.17,Summer,5185.15,"1200,750"
underweight,female,vegetarian,more frequently,wood,0.0,often,111,frequently,436,0.0,6,4,42,23,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1899,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,30,4,46,9,1086,24,Koparkhairane,"Residential, Industrial",775.49,422.99,1091.02,447.38,332.89,0.0,Summer,3069.77,"700,1000"
overweight,female,omnivore,twice a day,natural gas,0.0,often,101,rarely,1507,0.0,7,8,41,4,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",2383,Sales,Navi Mumbai,India,7.0,0.0,0.0,1.0,23,6,6,11,684,71,Kharghar,"Residential, Construction",756.45,486.11,966.71,478.7,316.86,0.0,Monsoon,3004.83,"700,350"
normal,male,vegan,more frequently,natural gas,0.0,never,135,rarely,1649,0.0,4,8,21,2,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1009,Operations,Navi Mumbai,India,4.0,0.0,0.0,1.0,13,2,26,19,910,72,Nerul,"Residential, Corporate, Construction",825.23,462.86,891.44,595.26,417.35,0.0,Winter,3192.14,"700,500,350"
normal,female,omnivore,more frequently,wood,0.0,never,184,very frequently,5069,0.0,2,22,45,24,Sometimes,['Plastic'],"['Oven', 'Microwave']",3348,Finance,Navi Mumbai,India,2.0,0.0,0.0,1.0,24,2,4,10,204,102,Ghansoli,"Residential, Industrial",796.6,455.45,1158.57,503.93,279.13,0.0,Winter,3193.68,"700,1000"
obese,male,vegetarian,more frequently,coal,0.0,sometimes,94,very frequently,96,0.0,1,10,21,12,Sometimes,"['Plastic', 'Glass', 'Metal']",['Stove'],2782,Sales,Navi Mumbai,India,1.0,0.0,0.0,1.0,33,1,48,3,391,37,Nerul,"Residential, Corporate, Construction",710.17,540.9,876.87,490.16,390.28,0.0,Winter,3008.38,"700,500,350"
normal,male,vegetarian,more frequently,wood,0.0,never,211,never,1118,0.0,1,7,24,15,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1104,Engineering,Navi Mumbai,India,1.0,0.0,0.0,1.0,2,0,36,11,331,69,Taloja,"Industrial, Construction",614.99,400.5,1012.94,555.51,381.16,0.0,Winter,2965.1,"1000,350"
overweight,male,pescatarian,less frequently,natural gas,0.0,sometimes,170,very frequently,15,0.0,4,20,8,7,Sometimes,"['Paper', 'Glass']",['Oven'],2434,Engineering,Navi Mumbai,India,4.0,0.0,0.0,1.0,23,2,0,11,1224,47,Taloja,"Industrial, Construction",620.94,479.15,1136.41,547.52,465.96,0.0,Winter,3249.98,"1000,350"
underweight,female,vegan,more frequently,natural gas,0.0,never,83,rarely,207,0.0,3,18,35,17,Yes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1460,Other,Mumbai,India,3.0,0.0,0.0,1.0,8,1,21,7,358,65,Goregaon,"Residential, Construction",917.38,560.4,1038.17,713.44,420.21,1796.53,Winter,5446.13,"850,400"
underweight,male,vegan,less frequently,coal,0.0,never,225,never,1631,0.0,1,10,38,21,Yes,['Plastic'],[],1605,Student,Mumbai,India,1.0,0.0,0.0,1.0,25,2,55,19,1056,132,Mazgaon,"Vehicular, Residential",937.66,683.04,1013.42,835.42,330.08,1727.22,Monsoon,5526.84,"750,850"
normal,male,omnivore,more frequently,wood,0.0,often,89,very frequently,26,0.0,5,3,7,18,No,['Metal'],['Stove'],2932,Student,Mumbai,India,5.0,0.0,0.0,1.0,19,3,6,13,1415,135,Malad West,"Residential, Construction",890.99,626.29,1223.03,745.74,408.68,1772.48,Monsoon,5667.21,"850,400"
normal,male,vegan,less frequently,natural gas,0.0,sometimes,280,frequently,536,0.0,2,2,30,1,Yes,['Plastic'],['Oven'],2021,Sales,Mumbai,India,2.0,0.0,0.0,1.0,39,2,48,6,211,91,Chembur,"Industrial, Vehicular",780.56,491.95,1169.49,800.74,435.32,1920.6,Monsoon,5598.66,"1200,750"
underweight,male,omnivore,daily,electricity,0.0,often,117,very frequently,38,0.0,2,1,23,18,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2034,Student,Navi Mumbai,India,2.0,0.0,0.0,1.0,9,1,7,2,1168,139,Ghansoli,"Residential, Industrial",811.06,486.38,1078.6,513.83,286.13,0.0,Summer,3176.0,"700,1000"
normal,male,pescatarian,daily,coal,0.0,sometimes,91,rarely,10,0.0,4,13,27,7,Sometimes,"['Paper', 'Plastic', 'Glass']",['Oven'],1655,Student,Mumbai,India,4.0,0.0,0.0,1.0,18,3,43,18,1606,132,Chembur,"Industrial, Vehicular",816.8,504.23,1195.93,752.44,363.05,1945.42,Summer,5577.87,"1200,750"
normal,male,vegetarian,more frequently,coal,0.0,never,184,rarely,9,0.0,1,13,30,3,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']",1279,Student,Mumbai,India,1.0,0.0,0.0,1.0,2,2,29,13,1735,113,Worli,"Vehicular, Construction",658.57,558.54,1083.35,794.49,518.55,1780.97,Monsoon,5394.47,"750,400"
normal,female,vegetarian,less frequently,electricity,0.0,often,55,never,1345,0.0,5,15,9,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",440,Student,Mumbai,India,5.0,0.0,0.0,1.0,23,1,56,18,1280,20,Mazgaon,"Vehicular, Residential",905.13,622.14,986.65,813.79,276.47,1981.6,Summer,5585.78,"750,850"
underweight,male,pescatarian,twice a day,electricity,0.0,sometimes,118,rarely,39,0.0,6,20,4,17,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",926,Operations,Navi Mumbai,India,6.0,0.0,0.0,1.0,4,5,27,9,324,77,Taloja,"Industrial, Construction",551.44,402.24,1128.12,546.85,434.81,0.0,Monsoon,3063.46,"1000,350"
normal,female,omnivore,twice a day,coal,0.0,sometimes,243,rarely,25,0.0,5,24,49,1,No,['Plastic'],[],2180,Sales,Navi Mumbai,India,5.0,0.0,0.0,1.0,2,3,25,11,1003,75,Airoli,"Residential, Corporate",800.57,581.05,924.26,489.37,365.02,0.0,Summer,3160.27,"700,500"
normal,female,vegetarian,less frequently,wood,0.0,sometimes,178,rarely,7363,0.0,1,11,48,1,Yes,[],"['Stove', 'Oven']",3029,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,26,2,33,17,1196,89,Turbhe,"Industrial, Vehicular",700.27,408.21,1136.53,602.88,383.96,0.0,Monsoon,3231.85,"1000,600"
underweight,female,vegetarian,less frequently,electricity,0.0,sometimes,244,never,80,0.0,4,5,17,5,No,"['Paper', 'Glass']","['Oven', 'Microwave']",611,Sales,Mumbai,India,4.0,0.0,0.0,1.0,15,1,48,18,1017,97,Chembur,"Industrial, Vehicular",790.86,557.48,1537.76,812.58,439.66,2011.13,Winter,6149.47,"1200,750"
normal,female,omnivore,twice a day,electricity,0.0,often,124,very frequently,1545,0.0,6,7,10,20,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",2424,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,14,3,31,17,680,98,Ghansoli,"Residential, Industrial",741.58,468.04,1032.06,546.54,333.69,0.0,Monsoon,3121.91,"700,1000"
normal,male,omnivore,twice a day,electricity,0.0,often,270,never,1749,0.0,6,6,4,16,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],1203,Student,Mumbai,India,6.0,0.0,0.0,1.0,34,1,21,12,1295,91,Borivali,"Residential, Vehicular",939.62,580.03,1184.91,733.16,287.43,1735.53,Summer,5460.68,"850,750"
overweight,male,omnivore,more frequently,electricity,0.0,sometimes,164,very frequently,1794,0.0,6,21,13,22,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",2893,Other,Mumbai,India,6.0,0.0,0.0,1.0,11,2,59,16,1543,29,Chembur,"Industrial, Vehicular",774.78,621.52,1348.35,821.18,315.6,1944.68,Monsoon,5826.11,"1200,750"
underweight,female,pescatarian,daily,natural gas,0.0,never,213,frequently,62,0.0,7,7,26,4,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1610,Student,Mumbai,India,7.0,0.0,0.0,1.0,25,1,19,5,835,146,Malad West,"Residential, Construction",973.62,552.56,954.36,629.33,337.97,2137.98,Winter,5585.82,"850,400"
normal,male,omnivore,twice a day,electricity,0.0,often,175,frequently,62,0.0,2,20,29,21,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1977,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,33,2,13,15,1537,60,Malad West,"Residential, Construction",965.65,484.93,1203.3,654.02,351.59,2022.49,Monsoon,5681.98,"850,400"
underweight,female,pescatarian,less frequently,natural gas,0.0,often,64,never,1728,0.0,7,3,33,16,No,"['Paper', 'Plastic', 'Glass']",[],1657,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,22,1,22,17,660,126,Nerul,"Residential, Corporate, Construction",789.34,535.88,954.13,505.5,331.01,0.0,Winter,3115.86,"700,500,350"
overweight,male,vegetarian,less frequently,coal,0.0,often,278,rarely,1388,0.0,5,22,3,7,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1622,Finance,Mumbai,India,5.0,0.0,0.0,1.0,30,2,2,8,1359,101,Sion,"Vehicular, Construction",743.25,568.04,991.96,851.15,517.17,1727.59,Winter,5399.16,"750,400"
normal,male,vegan,twice a day,coal,0.0,never,291,very frequently,62,0.0,4,15,41,11,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2920,Other,Mumbai,India,4.0,0.0,0.0,1.0,19,3,18,12,1744,149,Sion,"Vehicular, Construction",684.74,619.33,1019.93,882.5,381.35,1995.09,Winter,5582.94,"750,400"
obese,male,vegan,twice a day,wood,0.0,never,260,rarely,7561,0.0,4,15,1,12,No,"['Paper', 'Plastic', 'Metal']",['Stove'],4359,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,11,2,13,3,1102,24,Taloja,"Industrial, Construction",632.38,413.16,1066.42,498.15,357.9,0.0,Monsoon,2968.01,"1000,350"
normal,male,vegan,twice a day,coal,0.0,often,179,very frequently,1423,0.0,4,12,46,15,Sometimes,"['Paper', 'Metal']",[],3516,Sales,Mumbai,India,4.0,0.0,0.0,1.0,22,1,39,12,986,96,Chembur,"Industrial, Vehicular",702.31,519.27,1233.0,828.11,284.05,1583.68,Summer,5150.42,"1200,750"
overweight,male,vegetarian,less frequently,electricity,0.0,sometimes,66,rarely,90,0.0,4,10,12,16,Sometimes,['Metal'],"['Grill', 'Airfryer']",1119,Sales,Mumbai,India,4.0,0.0,0.0,1.0,3,4,38,2,1908,59,Borivali,"Residential, Vehicular",954.66,453.81,1056.69,804.08,300.05,1874.87,Winter,5444.16,"850,750"
