Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
normal,male,omnivore,daily,natural gas,often,75,never,5476,4,6,37,22,Sometimes,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1541,Engineering,Mumbai,India,240.0,36,2,36,17,483,134,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
normal,male,vegan,daily,coal,often,157,rarely,75,6,6,47,18,Yes,['Plastic'],"['Stove', 'Oven']",2465,Operations,Mumbai,India,6.0,16,4,41,18,1539,86,Andheri (Airport area),"Vehicular, Corporate, Airport",807.25,737.56,1021.36,839.69,386.2,2343.8,Summer,6135.86,"750,650,2000"
normal,female,omnivore,daily,coal,sometimes,68,rarely,58,4,14,9,10,No,"['Paper', 'Glass']","['Stove', 'Oven']",1224,Student,Mumbai,India,255.0,30,2,24,9,1960,23,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Post-Monsoon,255.0,"1200,750"
normal,male,vegetarian,daily,electricity,never,221,never,6134,1,24,13,10,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",1864,Finance,Mumbai,India,1.0,7,4,22,6,1762,108,Andheri (Airport area),"Vehicular, Corporate, Airport",759.66,609.03,1008.37,828.08,400.38,2523.93,Summer,6129.45,"750,650,2000"
normal,male,pescatarian,twice a day,electricity,often,126,rarely,511,5,23,3,17,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1182,Finance,Navi Mumbai,India,245.0,14,2,12,8,1924,88,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Monsoon,245.0,"700,1000"
underweight,female,omnivore,less frequently,wood,sometimes,180,very frequently,719,3,7,0,9,No,['Metal'],['Microwave'],1935,Operations,Navi Mumbai,India,230.0,30,1,56,11,855,72,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Monsoon,230.0,"700,1000"
overweight,female,omnivore,more frequently,natural gas,never,265,rarely,37,6,9,12,17,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1875,Student,Navi Mumbai,India,205.0,29,1,23,11,675,102,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Monsoon,205.0,"500,600"
overweight,male,vegetarian,more frequently,natural gas,sometimes,222,never,78,7,0,9,22,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1993,Student,Mumbai,India,235.0,19,0,2,4,1066,146,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Winter,235.0,"750,850"
normal,male,pescatarian,less frequently,wood,often,94,rarely,927,5,18,10,21,Yes,"['Paper', 'Glass']",['Oven'],1425,Student,Navi Mumbai,India,230.0,38,1,49,10,1523,66,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Summer,230.0,"700,1000"
overweight,male,vegan,twice a day,electricity,sometimes,233,never,503,6,1,23,10,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],872,Student,Mumbai,India,210.0,11,4,50,16,276,46,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Summer,210.0,"850,750"
underweight,male,vegetarian,more frequently,electricity,never,207,rarely,84,2,4,24,23,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1082,Student,Mumbai,India,225.0,16,2,37,14,192,70,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
overweight,male,vegan,daily,electricity,often,56,never,17,5,22,49,20,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2161,Finance,Mumbai,India,225.0,29,0,58,10,1631,106,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
overweight,male,pescatarian,daily,wood,sometimes,125,rarely,684,6,12,1,4,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1896,Engineering,Navi Mumbai,India,230.0,28,2,27,14,1758,140,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Winter,230.0,"700,1000"
overweight,male,vegan,daily,wood,sometimes,255,frequently,1941,4,20,20,23,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",2091,Engineering,Mumbai,India,225.0,18,3,25,15,1650,86,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
overweight,male,vegetarian,more frequently,electricity,sometimes,295,frequently,376,5,20,16,21,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2354,Operations,Mumbai,India,225.0,10,2,19,18,375,21,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Summer,225.0,"750,400"
underweight,male,pescatarian,more frequently,electricity,sometimes,169,never,97,4,5,39,17,Sometimes,[],"['Stove', 'Oven']",1339,Student,Mumbai,India,240.0,33,1,26,11,633,120,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Summer,240.00000000000003,650
underweight,female,vegetarian,less frequently,coal,often,67,rarely,1886,5,0,5,24,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",1321,Engineering,Mumbai,India,255.0,6,3,0,2,1901,31,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Winter,255.0,"1200,750"
overweight,female,omnivore,more frequently,wood,sometimes,52,very frequently,8017,7,20,13,21,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4300,Other,Mumbai,India,235.0,33,3,9,7,282,62,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Winter,235.0,"750,850"
normal,female,omnivore,twice a day,coal,often,130,rarely,834,1,0,29,18,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1610,Student,Mumbai,India,255.0,19,3,9,10,963,91,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Winter,255.0,"1200,750"
obese,male,omnivore,less frequently,coal,never,232,rarely,38,5,16,47,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3007,Finance,Navi Mumbai,India,235.0,37,1,56,0,511,92,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Monsoon,235.0,"500,700,600"
overweight,male,vegetarian,daily,wood,often,284,very frequently,5,4,21,6,13,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",3071,Other,Mumbai,India,225.0,23,2,53,3,1772,23,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
normal,male,vegetarian,daily,coal,never,56,rarely,7137,2,22,17,2,Yes,"['Paper', 'Glass']",['Oven'],2777,Engineering,Mumbai,India,225.0,9,1,0,5,1154,51,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
obese,male,omnivore,daily,electricity,never,245,frequently,214,3,12,28,19,Yes,['Paper'],"['Grill', 'Airfryer']",2164,Engineering,Navi Mumbai,India,245.0,31,0,31,9,314,50,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Summer,245.0,"700,1000"
overweight,male,vegan,twice a day,electricity,never,238,frequently,78,3,3,2,9,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1042,Operations,Navi Mumbai,India,230.0,14,0,50,14,1078,126,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Monsoon,230.0,"700,1000"
normal,female,pescatarian,less frequently,coal,sometimes,177,frequently,38,7,21,29,11,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2051,Operations,Navi Mumbai,India,245.0,36,3,31,7,451,82,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Summer,245.0,"700,1000"
underweight,female,vegan,less frequently,natural gas,often,230,very frequently,1877,5,3,14,12,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",2164,Engineering,Mumbai,India,240.0,19,4,42,13,1965,74,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Summer,240.00000000000003,650
normal,male,omnivore,daily,natural gas,often,207,very frequently,1941,5,19,7,23,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2798,Sales,Navi Mumbai,India,235.0,2,4,26,1,1335,59,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
underweight,female,omnivore,less frequently,electricity,often,136,frequently,31,3,6,15,19,No,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1402,Engineering,Mumbai,India,240.0,36,2,12,19,1862,116,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Summer,240.0,"750,400"
normal,female,vegan,daily,coal,never,175,frequently,1825,2,1,27,24,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1581,Engineering,Navi Mumbai,India,225.0,39,1,16,5,1308,58,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Winter,225.0,"700,500"
normal,female,vegan,more frequently,electricity,never,228,rarely,9420,3,2,42,16,Sometimes,"['Paper', 'Glass']",['Microwave'],2683,Operations,Navi Mumbai,India,230.0,7,2,27,2,1026,39,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Post-Monsoon,230.0,"700,500,350"
overweight,female,vegetarian,daily,natural gas,never,215,never,1695,6,22,31,24,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']",1177,Other,Navi Mumbai,India,265.0,39,2,24,1,1710,115,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Winter,265.0,"1000,600"
overweight,male,vegetarian,more frequently,coal,sometimes,149,frequently,609,2,1,46,10,Sometimes,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2762,Operations,Mumbai,India,225.0,22,0,51,13,1294,104,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
overweight,male,vegetarian,twice a day,electricity,never,60,rarely,68,2,20,28,9,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",967,Engineering,Mumbai,India,2.0,39,3,49,17,331,120,Andheri (Airport area),"Vehicular, Corporate, Airport",764.0,692.93,1056.72,782.9,414.2,2303.34,Summer,6014.09,"750,650,2000"
normal,female,omnivore,more frequently,electricity,sometimes,266,rarely,4676,2,2,3,22,No,[],"['Stove', 'Oven']",1259,Other,Mumbai,India,210.0,10,1,35,14,1197,46,Borivali,"Residential, Vehicular",73.5,16.8,6.3,94.5,14.7,4.2,Summer,210.0,"850,750"
normal,female,vegetarian,less frequently,natural gas,sometimes,209,very frequently,9516,4,10,3,22,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4730,Operations,Mumbai,India,235.0,7,1,46,3,352,57,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Winter,235.0,"750,850"
normal,female,omnivore,more frequently,coal,never,245,very frequently,8174,2,11,6,23,Yes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",2467,Student,Mumbai,India,240.0,28,1,1,15,1004,106,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
overweight,female,vegan,daily,wood,sometimes,155,rarely,1758,3,2,27,18,Yes,['Paper'],[],1399,Student,Mumbai,India,225.0,29,2,31,11,1421,117,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
obese,male,vegan,more frequently,wood,often,289,frequently,5380,5,8,14,24,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",4255,Finance,Mumbai,India,240.0,9,2,31,16,1197,95,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Winter,240.0,"750,400"
normal,female,pescatarian,daily,natural gas,never,169,never,1040,2,10,17,11,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",842,Operations,Mumbai,India,230.0,38,2,5,0,533,30,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Winter,230.0,"850,400"
overweight,male,vegan,daily,electricity,never,211,frequently,72,6,21,47,13,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1939,Other,Navi Mumbai,India,285.0,27,2,53,19,840,126,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Summer,285.0,"1000,350"
obese,female,pescatarian,twice a day,electricity,sometimes,231,frequently,6510,6,23,19,1,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2744,Finance,Navi Mumbai,India,245.0,35,1,30,8,1322,143,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Summer,245.0,"700,1000"
obese,female,pescatarian,twice a day,electricity,often,52,frequently,9006,4,19,46,23,Sometimes,"['Paper', 'Metal']",[],5547,Finance,Mumbai,India,255.0,12,3,58,11,823,35,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Summer,255.0,"1200,750"
underweight,female,omnivore,daily,wood,often,186,never,3881,4,23,34,15,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",2166,Sales,Mumbai,India,230.0,31,2,54,4,183,61,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Summer,230.0,"850,400"
underweight,male,omnivore,twice a day,natural gas,sometimes,90,very frequently,179,2,23,27,1,No,[],"['Grill', 'Airfryer']",2424,Finance,Navi Mumbai,India,205.0,35,0,8,16,811,89,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Monsoon,205.0,"500,600"
obese,female,omnivore,less frequently,electricity,often,158,frequently,51,1,14,4,3,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1559,Engineering,Mumbai,India,225.0,36,0,42,2,1780,32,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
overweight,female,pescatarian,more frequently,natural gas,sometimes,163,rarely,1849,6,11,0,7,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1306,Operations,Mumbai,India,225.0,25,3,56,5,1097,55,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
obese,male,vegan,more frequently,natural gas,never,74,never,6022,6,24,12,20,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2002,Other,Navi Mumbai,India,235.0,21,1,51,2,316,94,Vashi,"Corporate, Residential, Vehicular",70.5,35.25,23.5,82.25,18.8,4.7,Winter,235.0,"500,700,600"
obese,female,vegan,more frequently,electricity,often,197,never,1423,4,23,42,11,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1437,Engineering,Mumbai,India,225.0,3,2,15,5,1584,143,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
normal,female,omnivore,more frequently,coal,never,241,never,58,3,12,22,19,No,"['Paper', 'Glass']",['Oven'],1372,Other,Mumbai,India,240.0,30,2,24,12,1360,145,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Winter,240.00000000000003,650
overweight,male,omnivore,more frequently,electricity,never,294,never,21,5,24,47,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2104,Operations,Mumbai,India,225.0,17,1,39,18,1584,67,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
obese,male,vegan,daily,electricity,sometimes,72,rarely,20,4,0,47,21,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",2040,Finance,Mumbai,India,4.0,37,3,27,14,610,38,Andheri (Airport area),"Vehicular, Corporate, Airport",696.72,639.35,1040.12,773.9,367.99,2135.22,Monsoon,5653.3,"750,650,2000"
normal,male,vegetarian,twice a day,coal,sometimes,99,very frequently,620,3,0,35,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2483,Student,Mumbai,India,225.0,23,1,16,6,357,144,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Summer,225.0,"750,400"
obese,male,omnivore,more frequently,wood,never,124,never,21,3,2,14,9,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1164,Student,Mumbai,India,225.0,22,2,30,12,328,75,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
obese,female,omnivore,more frequently,coal,never,55,rarely,82,2,19,10,11,Sometimes,"['Glass', 'Metal']",['Microwave'],1278,Finance,Navi Mumbai,India,265.0,21,5,54,19,397,146,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Summer,265.0,"1000,600"
underweight,male,vegetarian,daily,electricity,sometimes,199,rarely,194,2,17,45,5,Sometimes,[],['Stove'],1500,Engineering,Navi Mumbai,India,230.0,1,3,22,1,717,119,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Summer,230.0,"700,1000"
overweight,female,pescatarian,twice a day,natural gas,sometimes,208,very frequently,96,4,17,50,12,No,['Plastic'],[],3189,Finance,Mumbai,India,225.0,30,4,30,18,604,138,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
obese,male,vegetarian,twice a day,natural gas,often,248,rarely,576,7,6,46,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2330,Student,Navi Mumbai,India,230.0,10,4,25,18,1826,61,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Summer,230.0,"700,1000"
normal,female,vegan,less frequently,wood,never,158,very frequently,5,2,16,13,8,Sometimes,"['Paper', 'Plastic']",[],1877,Student,Mumbai,India,235.0,27,1,3,2,750,79,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Winter,235.0,"750,850"
normal,male,omnivore,more frequently,electricity,often,186,frequently,96,6,4,42,23,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2461,Other,Navi Mumbai,India,205.0,31,0,38,2,1887,75,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Summer,205.0,"500,600"
obese,male,vegetarian,twice a day,coal,sometimes,145,frequently,1707,3,9,26,0,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2696,Engineering,Mumbai,India,240.0,4,2,42,5,1847,22,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Summer,240.0,"750,400"
underweight,male,vegan,less frequently,natural gas,never,185,very frequently,7955,6,12,13,8,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",5687,Engineering,Navi Mumbai,India,265.0,37,2,58,12,1762,62,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Monsoon,265.0,"1000,600"
obese,female,omnivore,less frequently,electricity,sometimes,138,never,83,7,1,47,6,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2371,Sales,Mumbai,India,225.0,9,0,42,13,1884,103,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Monsoon,225.0,"850,400"
normal,male,vegan,less frequently,natural gas,sometimes,194,frequently,6246,3,21,32,8,Yes,[],['Oven'],2265,Engineering,Mumbai,India,240.0,39,3,42,5,539,37,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Monsoon,240.00000000000003,650
normal,male,vegan,twice a day,natural gas,often,227,frequently,783,6,8,39,24,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",2230,Engineering,Mumbai,India,225.0,23,2,57,8,1708,108,Malad West,"Residential, Construction",67.5,22.5,13.5,101.25,15.75,4.5,Summer,225.0,"850,400"
normal,female,vegetarian,more frequently,wood,often,262,rarely,975,3,11,40,15,Sometimes,['Paper'],['Microwave'],1484,Sales,Mumbai,India,225.0,34,2,57,9,272,40,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
underweight,female,pescatarian,twice a day,coal,often,226,never,9954,6,1,24,17,No,[],"['Stove', 'Oven', 'Microwave']",2970,Other,Mumbai,India,240.0,22,2,52,15,1040,42,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Monsoon,240.0,"750,400"
underweight,male,pescatarian,less frequently,wood,sometimes,59,very frequently,1565,3,13,29,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2363,Operations,Navi Mumbai,India,225.0,16,2,52,14,768,32,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
underweight,female,omnivore,less frequently,natural gas,sometimes,97,frequently,4312,1,8,17,1,No,['Metal'],"['Stove', 'Oven']",1272,Operations,Mumbai,India,1.0,0,1,14,11,261,56,Andheri (Airport area),"Vehicular, Corporate, Airport",834.52,835.09,1011.64,771.16,356.94,2238.85,Winter,6048.2,"750,650,2000"
underweight,female,omnivore,less frequently,electricity,never,73,frequently,1507,5,3,14,15,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],1285,Other,Mumbai,India,225.0,30,2,36,12,1576,22,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
underweight,male,omnivore,less frequently,coal,sometimes,63,rarely,417,4,3,19,8,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1456,Engineering,Navi Mumbai,India,245.0,30,1,37,17,706,117,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Summer,245.0,"700,1000"
underweight,male,vegan,less frequently,natural gas,often,139,very frequently,3,3,21,27,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",2380,Engineering,Mumbai,India,230.0,33,1,22,1,957,112,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Winter,230.0,"850,400"
obese,female,omnivore,twice a day,electricity,often,206,very frequently,3538,3,11,38,8,Sometimes,"['Paper', 'Glass']",['Microwave'],3736,Engineering,Mumbai,India,235.0,8,0,4,13,1871,90,Mazgaon,"Vehicular, Residential",42.3,35.25,47.0,82.25,23.5,4.7,Monsoon,235.0,"750,850"
obese,male,pescatarian,more frequently,coal,often,170,rarely,1496,1,4,41,11,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2379,Other,Navi Mumbai,India,230.0,21,5,40,16,119,137,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Monsoon,230.0,"700,1000"
normal,female,vegan,daily,wood,sometimes,203,frequently,47,5,6,19,19,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1586,Engineering,Navi Mumbai,India,240.0,12,2,59,0,1195,45,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Monsoon,240.00000000000003,"700,350"
overweight,male,pescatarian,twice a day,electricity,never,234,rarely,1490,1,22,36,23,Yes,"['Paper', 'Glass']",['Microwave'],1588,Engineering,Navi Mumbai,India,285.0,24,4,42,10,681,76,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Summer,285.0,"1000,350"
overweight,male,pescatarian,twice a day,wood,often,233,rarely,80,1,12,3,6,Sometimes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1462,Engineering,Navi Mumbai,India,240.0,17,1,24,13,501,132,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Monsoon,240.00000000000003,"700,350"
obese,female,vegan,daily,coal,often,289,frequently,570,7,14,39,19,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3143,Student,Navi Mumbai,India,205.0,11,2,29,11,811,83,CBD Belapur,"Corporate, Vehicular",57.4,61.5,8.2,61.5,12.3,4.1,Winter,205.0,"500,600"
normal,female,vegan,more frequently,wood,never,157,rarely,15,1,20,50,18,Sometimes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1221,Engineering,Navi Mumbai,India,265.0,39,3,54,13,1567,85,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Summer,265.0,"1000,600"
obese,female,omnivore,less frequently,coal,sometimes,180,rarely,85,4,19,27,0,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",2118,Operations,Mumbai,India,240.0,16,2,25,16,1496,123,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Winter,240.0,"750,400"
underweight,male,vegetarian,daily,electricity,sometimes,204,rarely,33,7,14,7,16,No,"['Plastic', 'Glass', 'Metal']",[],1062,Operations,Mumbai,India,255.0,14,1,2,11,1818,83,Chembur,"Industrial, Vehicular",30.6,25.5,114.75,63.75,15.3,5.1,Summer,255.0,"1200,750"
overweight,male,omnivore,daily,coal,often,252,never,19,6,10,6,8,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1904,Other,Navi Mumbai,India,245.0,14,4,51,5,407,138,Ghansoli,"Residential, Industrial",61.25,29.4,61.25,73.5,14.7,4.9,Summer,245.0,"700,1000"
obese,male,omnivore,twice a day,electricity,sometimes,155,frequently,671,5,9,31,3,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2511,Engineering,Mumbai,India,240.0,14,1,3,8,1660,40,Bandra Kurla Complex,Corporate,24.0,132.0,4.8,60.0,14.4,4.8,Summer,240.00000000000003,650
obese,female,omnivore,twice a day,electricity,never,138,frequently,15,7,17,38,2,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2185,Operations,Navi Mumbai,India,240.0,38,1,54,11,1701,28,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Monsoon,240.00000000000003,"700,350"
normal,male,pescatarian,more frequently,wood,often,230,very frequently,1358,1,11,31,5,Yes,"['Plastic', 'Glass']",[],2777,Finance,Navi Mumbai,India,230.0,12,3,46,16,1407,139,Koparkhairane,"Residential, Industrial",73.6,34.5,27.6,75.9,13.8,4.6,Summer,230.0,"700,1000"
underweight,male,pescatarian,twice a day,natural gas,sometimes,143,never,8590,5,7,36,18,Sometimes,[],['Stove'],3191,Engineering,Navi Mumbai,India,225.0,16,1,17,15,1613,88,Airoli,"Residential, Corporate",63.0,33.75,40.5,72.0,11.25,4.5,Monsoon,225.0,"700,500"
