Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport
overweight,male,omnivore,twice a day,electricity,0.0,never,171,rarely,56,0.0,3,21,41,13,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1838,Sales,Mumbai,India,3.0,0.0,0.0,1.0,16,3,18,16,241,128,Sion,"Vehicular, Construction",0,0,0,1,1,0
overweight,female,vegetarian,daily,natural gas,0.0,sometimes,162,frequently,85,0.0,7,11,43,2,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2897,Other,Mumbai,India,7.0,0.0,0.0,1.0,37,6,59,8,445,112,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
overweight,female,vegetarian,less frequently,natural gas,0.0,often,65,very frequently,436,0.0,2,9,46,23,Yes,[],"['Stove', 'Grill', 'Airfryer']",2955,Operations,Navi Mumbai,India,2.0,0.0,0.0,1.0,13,2,51,9,402,127,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
obese,female,vegan,more frequently,wood,0.0,sometimes,274,frequently,9351,0.0,3,11,3,11,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],3844,Finance,Mumbai,India,3.0,0.0,0.0,1.0,22,3,48,7,1253,93,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,female,vegetarian,twice a day,coal,0.0,sometimes,219,never,2511,0.0,3,11,26,20,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",1555,Student,Navi Mumbai,India,3.0,0.0,0.0,1.0,24,2,27,13,567,44,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
obese,female,pescatarian,twice a day,wood,0.0,sometimes,267,rarely,4768,0.0,1,21,16,20,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']",3556,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,14,3,21,12,445,48,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
obese,female,omnivore,twice a day,wood,0.0,never,90,never,988,0.0,5,19,43,19,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1916,Student,Mumbai,India,5.0,0.0,0.0,1.0,21,3,50,2,933,134,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
normal,female,omnivore,twice a day,coal,0.0,never,71,rarely,2536,0.0,5,1,36,21,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",1635,Finance,Mumbai,India,5.0,0.0,0.0,1.0,2,4,23,13,275,54,Malad West,"Residential, Construction",1,0,0,0,1,0
obese,male,vegetarian,daily,wood,0.0,often,174,never,9616,0.0,3,0,28,20,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",4327,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,18,2,58,13,1571,66,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
underweight,female,vegan,daily,coal,0.0,sometimes,141,very frequently,42,0.0,2,19,19,4,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",1824,Finance,Mumbai,India,2.0,0.0,0.0,1.0,33,2,45,2,293,146,Goregaon,"Residential, Construction",1,0,0,0,1,0
underweight,female,pescatarian,less frequently,natural gas,0.0,often,244,frequently,72,0.0,6,23,45,11,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2002,Student,Navi Mumbai,India,6.0,0.0,0.0,1.0,34,5,29,15,1043,65,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
normal,female,omnivore,daily,wood,0.0,never,236,frequently,3004,0.0,2,9,12,4,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1621,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,0,3,28,9,436,55,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
obese,female,omnivore,twice a day,electricity,0.0,sometimes,85,frequently,63,0.0,6,17,22,21,Yes,"['Paper', 'Glass']","['Stove', 'Microwave']",2003,Operations,Mumbai,India,6.0,0.0,0.0,1.0,20,1,9,3,1909,90,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
overweight,female,vegan,more frequently,coal,0.0,never,280,frequently,86,0.0,1,18,21,6,Yes,['Paper'],"['Stove', 'Oven']",1778,Student,Navi Mumbai,India,1.0,0.0,0.0,1.0,28,2,52,19,1302,65,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
obese,male,omnivore,twice a day,electricity,0.0,sometimes,177,very frequently,1766,0.0,2,14,2,2,No,[],"['Stove', 'Microwave']",2861,Other,Navi Mumbai,India,2.0,0.0,0.0,1.0,5,1,31,17,1875,117,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
obese,female,vegetarian,daily,wood,0.0,sometimes,55,very frequently,1682,0.0,6,6,13,17,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2734,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,36,2,8,3,743,116,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
underweight,male,pescatarian,less frequently,wood,0.0,sometimes,205,very frequently,1295,0.0,7,6,11,20,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3009,Other,Mumbai,India,7.0,0.0,0.0,1.0,0,3,24,1,180,45,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,female,vegetarian,twice a day,coal,0.0,sometimes,133,very frequently,693,0.0,2,2,20,2,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",2126,Finance,Navi Mumbai,India,2.0,0.0,0.0,1.0,0,1,15,10,260,32,Airoli,"Residential, Corporate",1,1,0,0,0,0
underweight,female,vegan,more frequently,natural gas,0.0,often,254,never,40,0.0,2,5,32,7,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1219,Finance,Mumbai,India,2.0,0.0,0.0,1.0,26,0,14,14,506,144,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
underweight,male,vegan,daily,electricity,0.0,never,182,frequently,1843,0.0,3,24,14,18,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1757,Student,Navi Mumbai,India,3.0,0.0,0.0,1.0,20,3,58,10,1304,26,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
normal,male,pescatarian,less frequently,coal,0.0,often,125,frequently,71,0.0,3,17,49,16,Yes,"['Glass', 'Metal']","['Stove', 'Oven']",2742,Sales,Mumbai,India,3.0,0.0,0.0,1.0,15,2,47,5,1392,75,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
obese,female,omnivore,daily,electricity,0.0,sometimes,145,very frequently,9277,0.0,2,6,36,14,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",2352,Student,Navi Mumbai,India,2.0,0.0,0.0,1.0,39,3,17,17,1962,49,Kharghar,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegetarian,more frequently,electricity,0.0,sometimes,175,very frequently,1603,0.0,5,6,44,22,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2829,Finance,Mumbai,India,5.0,0.0,0.0,1.0,25,0,52,17,1693,74,Sion,"Vehicular, Construction",0,0,0,1,1,0
normal,male,omnivore,daily,wood,0.0,sometimes,204,frequently,8119,0.0,3,10,46,21,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",4570,Sales,Navi Mumbai,India,3.0,0.0,0.0,1.0,15,2,22,0,1612,25,Taloja,"Industrial, Construction",0,0,1,0,1,0
overweight,male,vegetarian,twice a day,natural gas,0.0,never,115,never,7954,0.0,3,6,26,8,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1616,Operations,Navi Mumbai,India,3.0,0.0,0.0,1.0,27,0,54,12,593,27,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
obese,female,vegan,twice a day,wood,0.0,never,181,rarely,5011,0.0,1,15,27,20,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],2466,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,0,1,41,0,290,92,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
obese,female,vegan,twice a day,coal,0.0,sometimes,96,never,101,0.0,2,17,36,14,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1650,Student,Navi Mumbai,India,2.0,0.0,0.0,1.0,35,2,2,12,1444,147,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
underweight,male,omnivore,twice a day,natural gas,0.0,never,271,rarely,80,0.0,6,4,3,7,No,['Paper'],"['Grill', 'Airfryer']",1691,Engineering,Navi Mumbai,India,6.0,0.0,0.0,1.0,9,2,6,4,1483,94,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
underweight,male,omnivore,twice a day,natural gas,0.0,often,196,very frequently,1250,0.0,4,23,0,15,No,['Plastic'],[],2708,Finance,Navi Mumbai,India,4.0,0.0,0.0,1.0,16,2,38,16,653,89,Taloja,"Industrial, Construction",0,0,1,0,1,0
underweight,female,vegan,daily,coal,0.0,never,96,very frequently,1566,0.0,2,12,40,19,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2512,Finance,Navi Mumbai,India,2.0,0.0,0.0,1.0,22,0,51,15,1218,59,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
underweight,male,pescatarian,daily,electricity,0.0,never,81,frequently,25,0.0,3,0,18,0,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1196,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,6,3,10,17,455,99,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
underweight,female,pescatarian,twice a day,wood,0.0,sometimes,157,rarely,1779,0.0,7,0,26,22,No,"['Plastic', 'Metal']","['Stove', 'Microwave']",1860,Student,Mumbai,India,7.0,0.0,0.0,1.0,6,6,54,9,1724,36,Sion,"Vehicular, Construction",0,0,0,1,1,0
overweight,male,vegetarian,twice a day,electricity,0.0,often,172,frequently,1529,0.0,2,7,42,6,No,[],"['Stove', 'Microwave']",2449,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,14,1,23,16,1744,107,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
underweight,female,omnivore,daily,coal,0.0,never,142,very frequently,6614,0.0,2,3,50,8,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",3962,Other,Mumbai,India,2.0,0.0,0.0,1.0,33,2,34,6,469,59,Worli,"Vehicular, Construction",0,0,0,1,1,0
underweight,female,vegetarian,twice a day,electricity,0.0,sometimes,275,never,28,0.0,3,22,28,7,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1090,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,3,3,49,14,844,123,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,female,vegetarian,more frequently,coal,0.0,sometimes,260,frequently,1733,0.0,3,20,47,2,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",2213,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,13,3,24,18,395,77,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
underweight,male,vegan,more frequently,coal,0.0,never,96,rarely,389,0.0,2,15,31,21,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1683,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,13,2,27,8,1985,110,Goregaon,"Residential, Construction",1,0,0,0,1,0
obese,female,vegetarian,twice a day,natural gas,0.0,often,69,very frequently,50,0.0,3,21,22,22,No,['Plastic'],"['Stove', 'Microwave']",3060,Other,Mumbai,India,3.0,0.0,0.0,1.0,15,1,11,4,1225,73,Borivali,"Residential, Vehicular",1,0,0,1,0,0
overweight,male,vegetarian,more frequently,coal,0.0,never,233,rarely,1244,0.0,2,8,7,0,No,['Paper'],"['Stove', 'Oven']",1499,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,6,3,22,9,120,28,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
normal,female,omnivore,twice a day,electricity,0.0,sometimes,193,never,6,0.0,1,9,23,20,Yes,"['Plastic', 'Glass']",[],876,Engineering,Mumbai,India,1.0,0.0,0.0,1.0,31,1,16,12,1206,70,Chembur,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,omnivore,twice a day,coal,0.0,never,245,rarely,1092,0.0,6,16,12,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2052,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,18,4,57,0,1075,68,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
overweight,male,vegetarian,more frequently,electricity,0.0,sometimes,130,never,1748,0.0,3,16,37,1,Sometimes,"['Glass', 'Metal']",['Oven'],1098,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,1,0,57,5,772,28,Malad West,"Residential, Construction",1,0,0,0,1,0
obese,female,vegan,less frequently,natural gas,0.0,sometimes,238,very frequently,94,0.0,3,17,21,22,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3004,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,9,1,40,2,466,141,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
underweight,female,pescatarian,daily,natural gas,0.0,never,295,very frequently,76,0.0,6,14,16,20,No,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2390,Operations,Mumbai,India,6.0,0.0,0.0,1.0,16,0,36,16,809,145,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
underweight,male,pescatarian,twice a day,electricity,0.0,often,239,very frequently,8,0.0,3,1,3,16,No,['Glass'],"['Stove', 'Oven', 'Microwave']",2314,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,36,2,17,11,653,45,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
underweight,female,omnivore,daily,natural gas,0.0,sometimes,205,never,503,0.0,3,9,39,16,Yes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1232,Engineering,Mumbai,India,3.0,0.0,0.0,1.0,11,2,54,10,648,147,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,female,pescatarian,twice a day,electricity,0.0,never,232,frequently,28,0.0,5,13,50,24,No,['Paper'],"['Grill', 'Airfryer']",1837,Finance,Navi Mumbai,India,5.0,0.0,0.0,1.0,5,6,8,7,1835,46,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
normal,female,omnivore,more frequently,electricity,0.0,often,183,frequently,1598,0.0,2,11,35,20,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",1974,Student,Navi Mumbai,India,2.0,0.0,0.0,1.0,21,2,44,11,1508,103,Taloja,"Industrial, Construction",0,0,1,0,1,0
obese,male,omnivore,less frequently,wood,0.0,often,233,frequently,481,0.0,5,11,37,8,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3244,Engineering,Navi Mumbai,India,5.0,0.0,0.0,1.0,31,4,34,10,1456,102,Airoli,"Residential, Corporate",1,1,0,0,0,0
normal,female,pescatarian,less frequently,coal,0.0,never,194,frequently,7148,0.0,7,10,43,17,Yes,['Metal'],['Oven'],3633,Operations,Mumbai,India,7.0,0.0,0.0,1.0,19,3,35,4,1789,37,Borivali,"Residential, Vehicular",1,0,0,1,0,0
overweight,female,omnivore,twice a day,electricity,0.0,often,261,never,5,0.0,2,21,18,9,Sometimes,"['Glass', 'Metal']",[],940,Other,Navi Mumbai,India,2.0,0.0,0.0,1.0,0,0,56,7,138,69,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
overweight,male,vegetarian,less frequently,wood,0.0,never,115,very frequently,81,0.0,7,4,35,0,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3512,Finance,Mumbai,India,7.0,0.0,0.0,1.0,5,3,17,11,146,62,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
underweight,female,pescatarian,less frequently,coal,0.0,never,244,frequently,2972,0.0,5,17,16,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2635,Operations,Mumbai,India,5.0,0.0,0.0,1.0,18,1,19,5,1435,60,Goregaon,"Residential, Construction",1,0,0,0,1,0
obese,female,vegetarian,more frequently,electricity,0.0,never,209,frequently,967,0.0,3,19,5,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1528,Finance,Mumbai,India,3.0,0.0,0.0,1.0,17,0,20,8,1233,123,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
obese,male,vegetarian,less frequently,natural gas,0.0,never,270,rarely,1673,0.0,6,16,50,14,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2317,Student,Mumbai,India,6.0,0.0,0.0,1.0,5,2,46,16,285,37,Borivali,"Residential, Vehicular",1,0,0,1,0,0
obese,male,vegan,twice a day,natural gas,0.0,sometimes,134,never,1346,0.0,7,18,29,14,Yes,['Glass'],"['Oven', 'Microwave']",2444,Sales,Mumbai,India,7.0,0.0,0.0,1.0,32,2,19,1,1023,119,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
underweight,female,pescatarian,twice a day,coal,0.0,often,80,rarely,98,0.0,5,4,43,20,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",1840,Other,Mumbai,India,5.0,0.0,0.0,1.0,22,6,54,0,1308,72,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
overweight,female,pescatarian,more frequently,coal,0.0,often,110,very frequently,49,0.0,6,21,12,8,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",3115,Sales,Mumbai,India,6.0,0.0,0.0,1.0,22,1,5,17,426,99,Malad West,"Residential, Construction",1,0,0,0,1,0
normal,male,vegetarian,daily,coal,0.0,sometimes,182,frequently,1382,0.0,2,17,47,18,Yes,[],['Oven'],2549,Other,Navi Mumbai,India,2.0,0.0,0.0,1.0,25,1,8,2,1851,72,Kharghar,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegetarian,twice a day,natural gas,0.0,sometimes,297,frequently,71,0.0,5,2,27,10,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2206,Operations,Navi Mumbai,India,5.0,0.0,0.0,1.0,12,4,42,13,209,32,Taloja,"Industrial, Construction",0,0,1,0,1,0
normal,female,omnivore,twice a day,wood,0.0,sometimes,136,never,1996,0.0,6,18,31,15,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1716,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,6,4,28,12,1323,45,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,male,omnivore,twice a day,wood,0.0,often,145,never,1040,0.0,7,11,45,1,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1580,Student,Mumbai,India,7.0,0.0,0.0,1.0,14,1,28,1,272,131,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,female,vegan,less frequently,electricity,0.0,sometimes,109,very frequently,780,0.0,6,12,34,14,Yes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",2132,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,26,1,12,3,1444,109,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,female,omnivore,less frequently,electricity,0.0,sometimes,98,frequently,27,0.0,3,17,6,22,No,['Glass'],"['Stove', 'Grill', 'Airfryer']",1378,Student,Mumbai,India,3.0,0.0,0.0,1.0,25,1,35,14,615,75,Malad West,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegan,more frequently,coal,0.0,sometimes,276,rarely,8609,0.0,6,6,14,20,Yes,"['Paper', 'Plastic']",['Oven'],4000,Sales,Navi Mumbai,India,6.0,0.0,0.0,1.0,32,1,26,4,160,104,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
obese,male,pescatarian,less frequently,wood,0.0,often,170,rarely,1887,0.0,1,17,33,12,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1929,Engineering,Navi Mumbai,India,1.0,0.0,0.0,1.0,14,2,46,9,1294,27,Kharghar,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegan,twice a day,wood,0.0,often,105,rarely,50,0.0,6,3,13,6,No,['Plastic'],['Microwave'],1573,Engineering,Mumbai,India,6.0,0.0,0.0,1.0,35,3,56,8,1996,149,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
normal,female,omnivore,more frequently,electricity,0.0,sometimes,127,very frequently,15,0.0,6,18,19,19,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",2108,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,26,4,48,17,1270,91,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
underweight,female,vegetarian,twice a day,natural gas,0.0,sometimes,136,frequently,668,0.0,5,8,38,0,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1474,Finance,Navi Mumbai,India,5.0,0.0,0.0,1.0,4,2,43,2,1465,89,Taloja,"Industrial, Construction",0,0,1,0,1,0
overweight,female,pescatarian,less frequently,coal,0.0,sometimes,192,rarely,3443,0.0,1,23,48,10,Yes,['Plastic'],[],2887,Other,Mumbai,India,1.0,0.0,0.0,1.0,1,0,5,13,1991,25,Worli,"Vehicular, Construction",0,0,0,1,1,0
normal,female,vegetarian,twice a day,natural gas,0.0,never,80,rarely,7134,0.0,2,5,8,5,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave']",2424,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,32,0,38,9,1252,41,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
overweight,male,pescatarian,less frequently,electricity,0.0,sometimes,167,rarely,8537,0.0,1,7,22,4,Yes,"['Paper', 'Metal']",['Stove'],3533,Finance,Mumbai,India,1.0,0.0,0.0,1.0,15,1,56,16,758,114,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,male,vegetarian,less frequently,natural gas,0.0,never,129,rarely,1877,0.0,5,2,13,15,Sometimes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2054,Student,Mumbai,India,5.0,0.0,0.0,1.0,22,2,31,14,1174,81,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
normal,male,vegan,more frequently,wood,0.0,sometimes,164,very frequently,48,0.0,5,21,41,12,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2965,Other,Mumbai,India,5.0,0.0,0.0,1.0,37,1,48,17,1699,88,Malad West,"Residential, Construction",1,0,0,0,1,0
overweight,female,vegan,twice a day,natural gas,0.0,often,147,never,45,0.0,6,21,48,24,No,"['Plastic', 'Glass', 'Metal']",['Stove'],2010,Engineering,Navi Mumbai,India,6.0,0.0,0.0,1.0,15,2,42,16,1698,105,Kharghar,"Residential, Construction",1,0,0,0,1,0
obese,male,vegan,more frequently,electricity,0.0,sometimes,128,rarely,120,0.0,4,21,40,24,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1461,Student,Mumbai,India,4.0,0.0,0.0,1.0,13,3,43,2,1408,76,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
obese,male,omnivore,daily,wood,0.0,sometimes,84,rarely,83,0.0,5,1,49,15,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",1966,Other,Mumbai,India,5.0,0.0,0.0,1.0,28,1,27,15,1678,131,Sion,"Vehicular, Construction",0,0,0,1,1,0
overweight,female,vegetarian,more frequently,wood,0.0,often,146,frequently,2439,0.0,3,6,11,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1896,Engineering,Navi Mumbai,India,3.0,0.0,0.0,1.0,25,2,44,18,1705,92,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
obese,male,vegetarian,less frequently,wood,0.0,sometimes,104,frequently,1329,0.0,4,2,19,9,Sometimes,['Plastic'],[],2196,Student,Navi Mumbai,India,4.0,0.0,0.0,1.0,34,3,0,12,1379,112,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
normal,female,pescatarian,more frequently,natural gas,0.0,often,98,rarely,1035,0.0,5,0,13,8,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1097,Finance,Mumbai,India,5.0,0.0,0.0,1.0,14,0,49,16,1930,137,Borivali,"Residential, Vehicular",1,0,0,1,0,0
underweight,male,pescatarian,less frequently,electricity,0.0,never,223,frequently,1739,0.0,5,13,11,0,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1732,Engineering,Mumbai,India,5.0,0.0,0.0,1.0,2,2,53,15,1146,126,Sion,"Vehicular, Construction",0,0,0,1,1,0
underweight,female,vegan,daily,natural gas,0.0,often,263,rarely,5844,0.0,6,15,40,19,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3866,Engineering,Navi Mumbai,India,6.0,0.0,0.0,1.0,22,2,50,8,868,27,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
underweight,female,omnivore,less frequently,wood,0.0,sometimes,93,rarely,1639,0.0,4,18,29,6,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",1399,Finance,Navi Mumbai,India,4.0,0.0,0.0,1.0,28,2,42,11,1184,123,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
obese,female,omnivore,daily,wood,0.0,never,288,never,826,0.0,7,4,22,14,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",1618,Finance,Navi Mumbai,India,7.0,0.0,0.0,1.0,33,1,30,2,306,139,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
overweight,male,pescatarian,more frequently,electricity,0.0,often,241,never,8,0.0,2,6,17,1,No,['Plastic'],"['Stove', 'Oven', 'Microwave']",1124,Student,Navi Mumbai,India,2.0,0.0,0.0,1.0,32,2,29,8,892,80,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
normal,male,pescatarian,daily,natural gas,0.0,sometimes,61,very frequently,312,0.0,1,12,23,22,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2554,Engineering,Navi Mumbai,India,1.0,0.0,0.0,1.0,22,3,53,15,1255,136,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
obese,female,pescatarian,daily,electricity,0.0,never,294,never,1557,0.0,4,4,29,10,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1568,Student,Mumbai,India,4.0,0.0,0.0,1.0,6,4,17,4,976,133,Mazgaon,"Vehicular, Residential",1,0,0,1,0,0
underweight,female,vegan,daily,wood,0.0,sometimes,120,very frequently,96,0.0,3,4,34,11,Yes,"['Plastic', 'Metal']",[],1890,Operations,Mumbai,India,3.0,0.0,0.0,1.0,2,5,28,18,1999,124,Goregaon,"Residential, Construction",1,0,0,0,1,0
